	0		i saw himself .
	0		i talked to himself .
	0		i surprised himself .
	0		i amused himself .
	0		i saw herself .
	0		i talked to herself .
	0		i surprised herself .
	0		i amused herself .
	0		i saw themselves .
	0		i talked to themselves .
	0		i surprised themselves .
	0		i amused themselves .
	0		i saw yourself .
	0		i talked to yourself .
	0		i surprised yourself .
	0		i amused yourself .
	1		i saw myself .
	1		i talked to myself .
	1		i surprised myself .
	1		i amused myself .
	0		i saw ourselves .
	0		i talked to ourselves .
	0		i surprised ourselves .
	0		i amused ourselves .
	0		you saw himself .
	0		you talked to himself .
	0		you surprised himself .
	0		you amused himself .
	0		you saw herself .
	0		you talked to herself .
	0		you surprised herself .
	0		you amused herself .
	0		you saw themselves .
	0		you talked to themselves .
	0		you surprised themselves .
	0		you amused themselves .
	1		you saw yourself .
	1		you talked to yourself .
	1		you surprised yourself .
	1		you amused yourself .
	0		you saw myself .
	0		you talked to myself .
	0		you surprised myself .
	0		you amused myself .
	0		you saw ourselves .
	0		you talked to ourselves .
	0		you surprised ourselves .
	0		you amused ourselves .
	1		he saw himself .
	1		he talked to himself .
	1		he surprised himself .
	1		he amused himself .
	0		he saw herself .
	0		he talked to herself .
	0		he surprised herself .
	0		he amused herself .
	0		he saw themselves .
	0		he talked to themselves .
	0		he surprised themselves .
	0		he amused themselves .
	0		he saw yourself .
	0		he talked to yourself .
	0		he surprised yourself .
	0		he amused yourself .
	0		he saw myself .
	0		he talked to myself .
	0		he surprised myself .
	0		he amused myself .
	0		he saw ourselves .
	0		he talked to ourselves .
	0		he surprised ourselves .
	0		he amused ourselves .
	0		she saw himself .
	0		she talked to himself .
	0		she surprised himself .
	0		she amused himself .
	1		she saw herself .
	1		she talked to herself .
	1		she surprised herself .
	1		she amused herself .
	0		she saw themselves .
	0		she talked to themselves .
	0		she surprised themselves .
	0		she amused themselves .
	0		she saw yourself .
	0		she talked to yourself .
	0		she surprised yourself .
	0		she amused yourself .
	0		she saw myself .
	0		she talked to myself .
	0		she surprised myself .
	0		she amused myself .
	0		she saw ourselves .
	0		she talked to ourselves .
	0		she surprised ourselves .
	0		she amused ourselves .
	0		we saw himself .
	0		we talked to himself .
	0		we surprised himself .
	0		we amused himself .
	0		we saw herself .
	0		we talked to herself .
	0		we surprised herself .
	0		we amused herself .
	0		we saw themselves .
	0		we talked to themselves .
	0		we surprised themselves .
	0		we amused themselves .
	0		we saw yourself .
	0		we talked to yourself .
	0		we surprised yourself .
	0		we amused yourself .
	0		we saw myself .
	0		we talked to myself .
	0		we surprised myself .
	0		we amused myself .
	1		we saw ourselves .
	1		we talked to ourselves .
	1		we surprised ourselves .
	1		we amused ourselves .
	0		they saw himself .
	0		they talked to himself .
	0		they surprised himself .
	0		they amused himself .
	0		they saw herself .
	0		they talked to herself .
	0		they surprised herself .
	0		they amused herself .
	1		they saw themselves .
	1		they talked to themselves .
	1		they surprised themselves .
	1		they amused themselves .
	0		they saw yourself .
	0		they talked to yourself .
	0		they surprised yourself .
	0		they amused yourself .
	0		they saw myself .
	0		they talked to myself .
	0		they surprised myself .
	0		they amused myself .
	0		they saw ourselves .
	0		they talked to ourselves .
	0		they surprised ourselves .
	0		they amused ourselves .
